 extension_name, publisher, version, toolReferenceName, tool_name, canBeReferencedInPrompt, inputSchema.properties, modelDescription
vscode-postgresql-client2,cweijan,8.3.4,dbclient-getDatabases,dbclient-get-databases,true,,%mcp.languageModelTools.dbclient-get-databases.modelDescription%
vscode-postgresql-client2,cweijan,8.3.4,dbclient-getTables,dbclient-get-tables,true,databaseOrSchemaName,%mcp.languageModelTools.dbclient-get-tables.modelDescription%
vscode-postgresql-client2,cweijan,8.3.4,dbclient-executeQuery,dbclient-execute-query,true,databaseOrSchemaName|query,%mcp.languageModelTools.dbclient-execute-query.modelDescription%
dbcode,dbcode,1.21.2,dbcode-getConnections,dbcode-get-connections,true,,"Retrieve available connections. Returns a list of connections, including the name, id, type. The connection id and connection name values are required to access the other dbcode tools."
dbcode,dbcode,1.21.2,dbcode-workspaceConnection,dbcode-workspace-connection,true,,Default connection: if the user does not specifically mention a connection this will provide the default connection if configured. It will return the name and id and type of the connection along with the database and schema names if applicable if a default connection is specified. This information can then be used to execute queries in the default connection for the current workspace.
dbcode,dbcode,1.21.2,dbcode-getDatabases,dbcode-get-databases,true,connectionId|connectionName,Retrieve all available databases for a specified connection.
dbcode,dbcode,1.21.2,dbcode-getSchemas,dbcode-get-schemas,true,connectionId|connectionName|databaseName,"Retrieve the schema names for a database, if the database supports schemas."
dbcode,dbcode,1.21.2,dbcode-getTables,dbcode-get-tables,true,connectionId|connectionName|databaseName|schemaName|tablePattern,"Retrieve tables with their columns, foreign keys, primary keys and index information. Use tablePattern to filter by name if required."
dbcode,dbcode,1.21.2,dbcode-executeQuery,dbcode-execute-query,true,connectionId|connectionName|databaseName|query|schemaName,"Executes a read-only query (SELECT) in the specified database and optional schema. For data modification (INSERT, UPDATE, DELETE, etc), use dbcode-execute-dml. For schema changes (CREATE, DROP, ALTER, etc), use dbcode-execute-ddl."
dbcode,dbcode,1.21.2,dbcode-executeDML,dbcode-execute-dml,true,connectionId|connectionName|databaseName|schemaName|statement,"Executes a DML statement (INSERT, UPDATE, DELETE) in the specified database and optional schema. Use this tool when you need to modify data. For read-only queries, use dbcode-execute-query. For schema changes, use dbcode-execute-ddl."
dbcode,dbcode,1.21.2,dbcode-executeDDL,dbcode-execute-ddl,true,connectionId|connectionName|databaseName|schemaName|statement,"Executes a DDL statement (CREATE, DROP, ALTER, TRUNCATE, etc.) in the specified database and optional schema. Use this tool when you need to modify database schema. For data modification, use dbcode-execute-dml. For read-only queries, use dbcode-execute-query."
vscode-electron-build-tools,dsanders11,0.38.3,,electron-build-tools_chromiumGitLog,false,endVersion|page|startVersion,Retrieves the git log for Chromium between two versions
vscode-electron-build-tools,dsanders11,0.38.3,,electron-build-tools_chromiumGitShow,false,commit,Shows the log message and textual diff for a commit
vscode-electron-build-tools,dsanders11,0.38.3,,electron-build-tools_gitLog,false,filename,Retrieves the git log for a given filename
vscode-electron-build-tools,dsanders11,0.38.3,,electron-build-tools_gitShow,false,commit|filename,Shows the log message and textual diff for a commit
copilot-chat,GitHub,0.35.0,codebase,copilot_searchCodebase,false,query,"Run a natural language search for relevant code or documentation comments from the user's current workspace. Returns relevant code snippets from the user's current workspace if it is large, or the full contents of the workspace if it is small."
copilot-chat,GitHub,0.35.0,symbols,copilot_searchWorkspaceSymbols,false,symbolName,Search the user's workspace for code symbols using language services. Use this tool when the user is looking for a specific symbol in their workspace.
copilot-chat,GitHub,0.35.0,usages,copilot_listCodeUsages,false,filePaths|symbolName,"Request to list all usages (references, definitions, implementations etc) of a function, class, method, variable etc. Use this tool when \n1. Looking for a sample implementation of an interface or class\n2. Checking how a function is used throughout the codebase.\n3. Including and updating all usages when changing a function, method, or constructor"
